Número Pedimento
1000172
1000137
1010010
1010007
1010011
1010002
1010012
0016204
0016203
0016216
0016218
0016208
0016219
0016215
0016217
0016259
0016205
0016214
0016202
0016213
1000122
1000123
1000121
1001073
1001074
1000001
1010024
1010039
1010037
1010043
1010046
0056317
1000007
1010013
0020432
1010074
1010082
1010083
0003394
1000230
1010040
1010085
1000179
1001191
1001196
1001197
1000136
0019938
1000125
1000869
1010061
1010041
1010064
1010038
1010073
1010053
1010060
1010065
1010076
1010098
1010101
1010103
1010072
1010056
1010057
1010054
1010059
1010100
1010055
1010058
1000312
1000231
1010067
1010069
1010068
1010066
1010062
1010070
1010091
1010077
1001199
1010113
1010097
1010080
1010116
1010111
0019357
0034846
0016765
1010105
1010112
1010107
1004329
1001127
1010134
0016778
1002954
0016779
1010124
1010128
1010133
0007832
1000368
1000603
1000434
1000236
1010090
1010121
1010092
1010093
1010118
1010063
1010120
1010122
1050115
0021106
0019670
1000020
0032199
1001244
1000319
1000124
1001243
1010142
1010147
1010135
1010140
0056096
1010138
1010158
1010170
1010157
1010163
1010129
1010117
1010126
1010166
1010159
1010162
1010164
1010165
1010169
1010186
1010181
1010119
1010151
1010136
1010184
1010176
1010172
1000333
1000334
1010148
1010187
1010130
1010150
1010155
1010156
1000232
0016764
0016744
1010178
1010183
0023547
0057786
1000336
1000337
0056613
1000638
1010207
1010189
0020348
1000180
1001973
1010222
1010227
1010200
1000233
1010199
1010209
1010223
1010221
1010153
1010192
1010152
1010234
0010631
1010237
1010137
1010174
1010177
1010182
1010201
1010202
1010204
1010203
1010240
1010215
1010238
1010042
1010160
1010205
1010228
0068701
1010115
1004382
1004370
1001210
1010190
1010217
1010245
1010218
1010191
1010194
1010195
1010193
1010196
1010208
1010212
1010213
1010211
1010149
1010246
1010247
1010167
1001268
1000203
1001192
0061486
1010257
1010288
1010230
1010292
1010294
1010251
1000960
1010185
1010287
1010096
0016781
1010250
1020152
1010225
1010214
1010258
1010259
1010291
1010231
1010236
1010301
1010274
1010269
1010210
1010299
1000372
1010261
1010263
1000294
0016784
0016754
0007481
1000237
0016783
1000335
1000123
1000283
1000577
1010323
1010321
1010273
1010276
1010277
1010266
1010260
1010275
1010313
0005207
1010314
1010316
1010265
1010318
1010340
1010278
1010268
1010272
1010271
1010336
1010312
1000317
1010280
1010295
1010296
1010293
1010298
1010300
1010297
1010303
1010335
1010304
1010331
1010333
1010344
1010342
1000347
1002969
1010279
1010328
1010307
1010325
1010306
1003579
0061459
1010311
1010088
1000022
1010339
1000864
1004448
0007575
1000202
1000313
1001282
1003259
1000937
0061471
0061489
0061502
0061501
0061468
0061507
1001305
1003477
1000557
1000322
1010354
1002480
1010368
1010391
1010359
1010369
1010380
1010390
1010355
1010360
1010241
1010308
1010309
1010327
1010264
1010326
0016788
1010267
1010310
1010329
1010370
1010378
1010393
1010392
1010398
1010401
1000368
1010396
1010338
1010383
1010363
1010252
0016933
1010389
1010371
1010357
1000337
1000656
1010330
0016782
0016789
1000297
1000350
1000392
1000835
1000833
1000346
1000360
1003563
1000433
1018218
1003599
1010324
1001299
1000006
0068694
0061447
0068709
0061435
0061487
0061495
0061455
0061497
0061461
0061467
0061500
0061469
0061505
1010409
1010350
1010397
1010412
1000315
1000334
1000146
1002019
1005065
1010424
1010432
1010428
1001049
1010430
1000359
1005001
1005009
1010373
1010362
1010374
1010385
1010366
1010376
1010375
1010367
1000056
1010402
1010388
1010426
1010406
1010421
1010422
