RFC,Patente,"Número Pedimento","Sección Aduanera","Fecha Pago Real","Clave Documento","Tipo Operación","Tipo Pedimento","Efectivo DTA","Exento de Pago DTA","Pendiente de Pago DTA","Compensacion DTA","Ctas Aduaneras Garantia Precios Estimados DTA","Efectivo MULTA","Exento de Pago MULTA","Pendiente de Pago MULTA","Efectivo PVR","Exento de Pago PVR","Pendiente de PagoPVR","Efectivo IVA_PRV","Efectivo CNT","Exento de Pago CNT","Pendiente de Pago CNT","Efectivo REC","Número Pedimento anterior","Clave Documento Anterior","Fecha Operación Anterior"
SVD000317AH4,"	3993","	1114928","	480",2021-12-10,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3993","	1114819","	480",2021-12-08,A1,Exportacion,1,353,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3993","	1079936","	480",2021-12-23,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1008127","	240",2021-12-28,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1008094","	240",2021-12-27,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1008090","	240",2021-12-22,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1008071","	240",2021-12-20,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1007853","	240",2021-12-16,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1007679","	240",2021-12-10,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1007672","	240",2021-12-15,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1007572","	240",2021-12-02,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3973","	1007541","	240",2021-12-02,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1005154","	480",2021-12-21,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1005136","	480",2021-12-30,RT,Exportacion,1,,2112,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1005135","	480",2021-12-30,RT,Exportacion,1,,1760,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1005033","	480",2021-12-14,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1005031","	480",2021-12-23,RT,Exportacion,1,,2464,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1005030","	480",2021-12-23,RT,Exportacion,1,,2112,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1004937","	480",2021-12-17,RT,Exportacion,1,,3168,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1004936","	480",2021-12-16,RT,Exportacion,1,,2112,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1004818","	480",2021-12-09,RT,Exportacion,1,,2464,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1004816","	480",2021-12-10,RT,Exportacion,1,,2464,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1004795","	480",2021-12-02,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1004740","	480",2021-12-02,RT,Exportacion,1,,1760,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3949","	1004739","	480",2021-12-02,RT,Exportacion,1,,3168,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3945","	1010328","	430",2021-12-20,IN,Importacion,1,352,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3945","	1009887","	430",2021-12-20,IN,Importacion,1,704,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008899","	160",2021-12-31,IN,Importacion,1,352,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008713","	160",2021-12-23,IN,Importacion,1,352,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008675","	160",2021-12-24,IN,Importacion,1,1056,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008672","	160",2021-12-27,IN,Importacion,1,1760,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008669","	160",2021-12-16,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008578","	160",2021-12-14,AF,Importacion,1,3422,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008577","	160",2021-12-14,AF,Importacion,1,3342,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008496","	160",2021-12-22,IN,Importacion,1,2816,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008494","	160",2021-12-21,IN,Importacion,1,2112,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008352","	160",2021-12-03,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008311","	160",2021-12-13,AF,Importacion,1,5140,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008236","	160",2021-12-03,AF,Importacion,1,4161,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008235","	160",2021-12-17,IN,Importacion,1,352,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008234","	160",2021-12-15,IN,Importacion,1,2112,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008231","	160",2021-12-15,IN,Importacion,1,2816,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008146","	160",2021-12-03,A1,Importacion,1,4181,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008123","	160",2021-12-01,A1,Importacion,1,7550,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008076","	160",2021-12-03,RT,Exportacion,1,,352,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008031","	160",2021-12-08,IN,Importacion,1,2112,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1008028","	160",2021-12-08,IN,Importacion,1,2112,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1007909","	160",2021-12-10,AF,Importacion,1,2659,,,,,,,,240,,,38,,,,,,,
SVD000317AH4,"	3931","	1006175","	810",2021-12-23,AF,Importacion,1,8333,,,,,,,,240,,,38,,,,,,,
